CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
6,18761,9,1,"University of California, Berkeley",95457486.0,-1,1984,1,1,4,-1,1,1,98,1963.0,2.5128205128205128,10469,268.43589743589746,139,3.5641025641025643,1986.0,19,1487,25,7.666666666666668,880.6111111111113,1984.0,21.0,3,0,1
37,44,43,1,"University of California, Berkeley",95457486.0,-1,1985,27,5,9,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1986.0,5,477,9,3.75,1607.7777777777774,1985.0,19.0,30,2,1
40,46,43,1,"University of California, Berkeley",95457486.0,-1,1992,27,1,8,-1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,2010.0,1,0,1,1.0,0.0,1992.0,26.0,20,0,0
50,53,36,2,Massachusetts Institute of Technology,63966007.0,1962,1963,14,3,7,1,1,1,79,1946.0,1.1285714285714286,10071,143.87142857142857,58,0.8285714285714286,1963.0,16,1974,5,2.4655172413793105,443.6034482758622,1963.0,17.0,29,0,1
59,45,61,2,National Institutes of Health,1299303238.0,-1,1975,29,1,1,-1,1,1,226,1952.0,3.2285714285714286,61805,882.9285714285713,343,4.9,1979.0,11,14741,17,6.813953488372092,2299.6046511627906,1975.0,23.0,7,0,1
61,10,140,1,Johns Hopkins University,145311948.0,-1,1989,18,3,8,-1,1,1,74,1973.0,1.574468085106383,12926,275.0212765957447,113,2.404255319148936,-1.0,0,0,0,0.0,0.0,1989.0,16.0,4,0,0
77,77,76,1,"University of California, San Diego",36258959.0,1991,1995,87,12,9,1,1,1,922,1969.0,17.39622641509434,198249,3740.5471698113206,1056,19.924528301886788,1990.0,10,6032,11,3.8125,722.78125,1990.0,26.0,140,7,1
87,87,52,2,University of Cambridge,241749.0,1986,1990,7,1,2,-1,1,1,136,1972.0,2.833333333333333,18899,393.72916666666674,116,2.4166666666666665,1979.0,10,311,16,6.627906976744188,907.2558139534883,1979.0,18.0,8,0,1
96,92,43,1,"University of California, Berkeley",95457486.0,1979,1986,27,5,2,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1982.0,14,3732,10,3.2051282051282053,376.8205128205129,1982.0,20.0,31,14,1
103,100,102,1,Eberhard Karls Universität Tübingen,8087733.0,-1,1982,40,3,26,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1982.0,36,15419,23,20.025,4397.05,1982.0,10.0,53,15,1
