CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor,S_Or_DP
6,18761,9,1,"University of California, Berkeley",95457486.0,-1,1984,8,4,0,1,0,0,98,1963.0,2.5128205128205128,5250,134.61538461538458,139,3.5641025641025643,1986.0,19,745,25,7.666666666666668,441.08333333333326,1984.0,21.0,3,0,1
248,211,34756,1,University of Rome,,-1,1928,34,6,10,1,1,1,113,1921.0,1.2555555555555555,10361,115.12222222222222,66,0.7333333333333333,1930.0,7,329,8,1.4651162790697674,38.38372093023256,1928.0,7.0,12,0,1
273,4361,1216,1,Leiden University,121797337.0,-1,1968,24,14,5,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1968.0,-1.0,0,0,0
274,4394,1216,1,Leiden University,121797337.0,-1,1970,24,19,1,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1970.0,-1.0,0,0,0
278,246,245,2,"University of California, Berkeley",95457486.0,1989,1990,17,5,0,1,1,0,301,1938.0,3.583333333333333,23815,283.5119047619048,185,2.202380952380953,1970.0,3,5,7,7.134615384615384,400.6923076923077,1970.0,52.0,30,0,1
279,246,242,2,Brandeis University,6902469.0,-1,1995,20,3,1,-1,1,1,154,1973.0,3.208333333333333,17405,362.60416666666674,176,3.6666666666666665,1970.0,3,5,7,7.134615384615384,400.6923076923077,1970.0,22.0,31,0,1
306,13297,24297,1,Yale University,32971472.0,-1,1986,39,21,0,1,0,0,254,1974.0,5.291666666666667,22480,468.33333333333326,219,4.5625,1996.0,21,3451,59,5.0,282.11538461538464,1986.0,12.0,66,0,1
326,286,24297,2,Yale University,32971472.0,1980,1982,39,18,0,1,0,0,254,1974.0,5.291666666666667,22480,468.33333333333326,219,4.5625,1978.0,10,610,16,2.386363636363636,80.8409090909091,1978.0,8.0,37,3,1
428,376,51265,1,Wageningen University,,-1,1982,1,1,0,-1,0,0,5,1965.0,1.25,92,23.0,4,1.0,-1.0,0,0,0,0.0,0.0,1982.0,17.0,0,0,0
442,4502,1216,1,Leiden University,121797337.0,-1,1974,24,13,0,1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1974.0,-1.0,0,0,0
503,327,464,1,California Institute of Technology,122411786.0,-1,1974,24,4,0,1,0,0,4,1966.0,0.08333333333333333,40,0.8333333333333334,12,0.25,1974.0,10,2945,11,10.1875,1379.770833333333,1974.0,8.0,0,0,1
505,465,464,1,California Institute of Technology,122411786.0,-1,1974,24,4,0,1,0,0,4,1966.0,0.08333333333333333,40,0.8333333333333334,12,0.25,-1.0,0,0,0,0.0,0.0,1974.0,8.0,0,0,0
507,464,467,3,California Institute of Technology,122411786.0,-1,1937,1,1,16,0,1,1,164,1890.0,1.251908396946565,5651,43.137404580152676,120,0.916030534351145,1966.0,2,5,6,0.08333333333333333,0.8333333333333334,1937.0,47.0,9,0,1
850,291,1216,1,Leiden University,121797337.0,1969,1974,24,13,0,1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1974.0,-1.0,0,0,0
854,437,962,1,Delft University of Technology,98358874.0,-1,1992,3,2,0,-1,0,0,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1992.0,-1.0,0,0,0
855,962,766,1,Delft University of Technology,98358874.0,-1,1978,5,3,3,1,1,1,0,-1.0,0.0,0,0.0,0,0.0,-1.0,0,0,0,0.0,0.0,1978.0,-1.0,0,0,0
