Mentor,PubsOfMentorInTraning,Mentee,CollaPubsOfWithMentor
687209,4,687706,1
687274,6,687271,0
687274,7,687280,0
687274,8,687281,0
687274,8,687282,0
687274,8,687283,1
687274,8,687284,0
687274,8,687285,0
687274,8,687286,0
687274,8,687287,1
687274,7,687288,1
687274,4,687289,1
687274,4,687290,0
687274,5,687291,0
687277,5,687274,0
687277,0,687295,0
687277,11,687296,0
687277,15,729380,0
687277,10,750728,0
687277,0,754994,0
687277,0,477051,0
687277,0,833258,0
687271,0,723885,0
687271,60,687270,13
687271,60,687272,0
687271,83,687276,0
687271,66,687275,0
687271,0,687278,0
687271,60,687279,0
687271,0,723902,0
687271,61,723830,0
687271,61,723831,0
687271,0,723835,0
687271,0,723827,0
687271,0,723884,0
687271,0,723883,0
687271,0,723882,0
687271,0,723832,0
687271,0,723826,0
687271,0,723836,0
687271,0,723837,0
687271,0,723829,0
687271,0,723828,0
687271,0,723825,0
687271,0,723823,0
687271,0,723820,0
687271,0,723819,0
687271,0,723821,0
687271,0,758818,0
687271,0,758819,0
687271,0,758820,0
687271,0,758821,0
687271,0,723822,0
687271,0,817100,0
687271,47,817101,0
687271,0,817102,0
687271,0,817125,0
522889,101,523505,0
522889,95,523506,0
522889,95,523507,0
522889,72,523508,0
522889,68,523509,0
522889,73,523510,0
522889,58,523511,0
522889,58,523512,0
522889,58,523513,0
522889,35,523514,0
381260,35,385687,0
381260,46,385688,0
381260,47,385689,0
381260,47,385690,0
381260,34,385691,0
381260,29,385692,0
381260,28,385693,0
381260,27,385694,0
381260,5,59712,0
687295,73,687278,0
727641,87,795212,0
727628,76,641025,0
727628,81,728531,0
727628,81,110190,0
727628,81,728532,0
727628,81,728533,0
727628,95,728534,0
727628,114,728535,0
727628,114,728536,0
727628,114,728537,0
727628,125,728538,0
727628,128,728539,0
727628,127,728540,0
727628,128,179524,0
727628,128,728541,0
727628,125,728542,0
727628,125,728543,0
727628,118,728544,0
727628,118,728545,0
727628,114,728546,0
727628,83,728547,0
727628,83,728548,0
727628,95,728549,0
727628,81,728550,0
727628,83,146781,0
727628,81,728551,0
727628,76,728552,0
727628,76,270821,0
727628,74,505054,0
727628,74,728554,0
727628,74,728555,0
727628,66,728556,0
727628,118,748721,0
727625,82,793466,0
727615,2,727616,0
727540,0,727604,0
727540,0,727602,0
727540,0,727601,0
727540,0,727599,0
494012,8,495013,0
494012,18,495014,0
494012,0,727611,0
494012,0,727610,0
494012,0,727609,0
494012,0,727608,0
494012,0,727607,0
494012,0,727606,0
494012,0,727605,0
494012,0,727603,0
494012,0,727600,0
494012,0,727598,0
494012,0,727597,0
494012,0,727596,0
494012,0,727595,0
494012,0,727594,0
727494,22,727553,0
727494,0,727549,0
727494,0,727548,0
727494,0,727546,0
727494,0,727545,0
727494,0,727544,0
727494,16,727498,0
727494,39,714573,0
727494,24,489641,0
638677,15,639635,0
638677,13,639636,0
638677,7,687473,0
727528,0,727494,0
497993,48,500756,0
497993,60,500757,0
497993,9,380324,1
687368,6,497993,1
687368,2,380324,0
727559,397,727556,14
727559,184,741493,11
727559,184,741496,0
727559,184,741497,0
727559,171,741498,0
727559,171,741499,0
727559,158,741500,0
727559,132,741501,8
727559,304,741511,0
727559,242,741512,0
727559,0,769609,0
727559,0,807226,0
63471,4,66570,2
63471,0,76814,0
63471,44,82751,0
63471,27,84686,2
63471,30,115824,0
63471,15,142913,0
63471,22,142914,5
63471,31,142915,0
63471,39,142916,0
63471,27,142917,0
63471,44,67167,0
63471,1,64501,0
63471,44,86644,0
727586,31,727555,0
727555,207,727556,24
727555,179,728356,3
727555,0,769607,0
727555,0,769608,0
727555,0,769613,0
727555,0,769614,0
727555,0,769615,0
727555,0,807032,0
727555,0,807226,0
687375,31,689899,0
687375,16,725551,2
687375,14,713404,0
687375,14,713405,0
687375,8,713465,0
687375,8,714582,3
687375,11,714583,0
687375,31,714584,7
687375,13,717400,0
687375,13,717401,0
687375,16,717402,0
687375,21,477495,0
687375,31,835816,0
687382,0,687375,0
480187,159,727556,0
687399,0,688304,0
687399,0,724187,0
480485,167,488299,0
480485,184,488300,0
480485,184,488301,0
480485,193,488302,0
480485,193,488303,0
480485,202,488304,0
480485,78,703068,0
480485,94,703069,0
480485,105,703070,0
480485,112,703071,0
480485,114,703072,0
480485,107,703073,0
480485,122,703074,0
480485,139,703075,0
480485,107,703076,0
480485,202,164763,0
480485,0,750345,0
480485,0,789013,0
480485,112,811093,14
480485,85,811991,0
480485,0,813432,0
687464,0,778690,0
687464,13,687394,0
687464,18,498356,0
687464,17,752552,0
687464,4,757721,0
687464,4,526310,0
608560,33,611616,0
608560,34,611617,0
608560,33,775820,10
687463,19,687462,0
687463,26,831765,4
727537,2,727540,0
727537,1,727494,0
727537,0,727538,0
727495,150,727570,0
727495,135,727566,0
727495,149,714573,0
68379,7,68377,0
687483,6,68379,0
727507,35,727495,0
687513,3,687514,0
687513,4,687515,0
687513,7,687516,0
687513,4,687517,0
687547,53,717840,0
687547,0,794683,0
687551,0,786735,0
687554,43,717169,0
687554,41,758755,12
619393,47,714573,0
68334,38,148788,0
68334,38,148789,0
68334,37,148790,4
68334,38,148791,0
68334,38,148792,5
68334,30,148793,0
68334,30,148794,0
68334,0,634811,0
68334,30,91119,0
68334,27,77999,11
68334,23,742035,10
62589,1,52478,0
399683,14,408124,0
399683,12,408125,0
399683,12,408126,0
399683,8,408127,0
687596,31,690028,0
687596,0,743205,0
687596,72,750982,0
393603,21,414502,0
393603,21,414503,0
393603,22,414504,0
393603,22,414505,0
393603,23,414506,0
393603,29,414507,0
