year,num of mentee,num of being mentor,num of mentee from BigGroup,num of mentee from BigGroup being mentor,num of mentee from SmallGroup,num of mentee from SmallGroup being mentor
1900,0,0,0,0,0,0
1901,50,42,19,14,19,17
1902,28,19,13,10,8,6
1903,37,27,12,7,19,17
1904,44,39,15,12,27,26
1905,32,24,11,7,10,10
1906,45,33,16,13,29,25
1907,57,46,27,22,28,24
1908,47,35,18,12,17,16
1909,39,34,15,12,18,18
1910,54,45,17,15,27,22
1911,54,43,21,18,30,23
1912,53,46,20,16,25,23
1913,55,45,19,16,34,27
1914,57,41,14,11,30,24
1915,41,32,11,9,17,13
1916,40,32,4,4,22,19
1917,45,41,15,14,30,30
1918,36,28,8,7,25,21
1919,42,30,15,11,20,18
1920,39,35,15,13,18,17
1921,68,58,25,23,32,28
1922,66,55,23,21,32,27
1923,80,61,37,27,37,33
1924,99,75,36,28,46,40
1925,96,73,32,23,47,36
1926,87,69,36,31,39,32
1927,115,85,47,32,58,47
1928,111,88,36,31,58,52
1929,122,87,36,31,63,47
1930,93,71,38,29,39,32
1931,91,71,34,25,41,35
1932,104,84,33,28,47,40
1933,102,75,44,35,47,38
1934,88,63,26,19,44,30
1935,110,84,42,33,54,43
1936,136,110,56,48,60,51
1937,112,92,44,38,53,44
1938,124,98,38,31,60,45
1939,124,97,37,28,52,39
1940,118,101,46,38,49,43
1941,128,98,47,39,69,55
1942,153,110,39,28,72,52
1943,97,75,36,25,41,35
1944,102,81,33,27,39,32
1945,92,71,39,28,42,33
1946,119,99,49,41,49,44
1947,135,114,68,61,62,53
1948,207,155,81,60,88,68
1949,248,204,92,68,108,102
1950,215,167,80,60,100,81
1951,252,194,101,75,113,97
1952,289,225,107,72,137,118
1953,227,183,87,72,99,84
1954,275,209,94,64,111,90
1955,259,191,87,64,116,89
1956,227,164,80,51,84,72
1957,278,207,103,75,120,101
1958,244,183,85,56,112,96
1959,246,197,106,80,104,94
1960,311,218,108,75,145,111
1961,294,221,94,66,114,99
1962,312,239,109,80,126,107
1963,358,288,112,84,171,157
1964,393,310,157,119,170,144
1965,378,292,122,92,170,141
1966,405,314,132,106,181,155
1967,417,331,149,112,174,153
1968,446,339,171,122,186,152
1969,413,309,129,91,191,164
1970,472,335,174,105,182,158
1971,385,284,129,89,176,150
1972,437,323,169,119,210,183
1973,391,276,130,78,196,164
1974,442,330,143,92,216,183
1975,442,327,127,89,228,191
1976,405,293,143,91,187,153
1977,421,305,146,98,198,160
1978,459,309,155,98,216,159
1979,469,333,157,99,224,182
1980,455,320,123,78,209,170
1981,487,332,174,112,240,184
1982,515,347,198,121,228,173
1983,506,345,173,102,223,187
1984,575,356,201,110,240,178
1985,562,355,223,138,243,185
1986,607,414,186,112,283,233
1987,636,394,185,96,288,209
1988,667,413,214,114,314,244
1989,700,428,210,105,339,249
1990,716,404,254,135,310,210
1991,706,396,248,118,326,236
1992,767,449,253,132,360,259
1993,781,446,279,142,342,242
1994,826,447,249,112,351,250
