CID,MenteeID,MentorID,MentorshipType,Institution,InstitutionMAGID,StartYear,StopYear,NumOfMenteesOfTheMentor,NumOfMenteesOfTheMentor10,NumOfMenteesOfTheMenteeIn20,BigOrSmall,Survival0,Survival1,TotalPubsOfMentor,YearOfTheFirstPubsOfMentorPubs,YearlyPubsOfMentor,TotalCitationOfMentor,YearlyCitationOfMentor,TotalCollaOfMentor,YearllyCollaOfMentor,YearOfTheFirstPubsOfMenteePubs,First5YearPubsOfMentee,First5YearCitationOfMentee,First5YearCollaOfMentee,YearlyPubsOfMentee,YearlyCitationOfMentee,BirthYearOfMentee,CareerAgeOfMentorInTraining,PubsOfMentorInTraning,CollaPubsOfWithMentor
6,18761,9,1,"University of California, Berkeley",95457486.0,-1,1984,1,1,4,-1,1,1,98,1963.0,2.5128205128205128,10469,268.43589743589746,139,3.5641025641025643,1986.0,19,1487,25,7.666666666666668,880.6111111111113,1984.0,21.0,3,0
37,44,43,1,"University of California, Berkeley",95457486.0,-1,1985,27,5,9,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1986.0,5,477,9,3.75,1607.7777777777774,1985.0,19.0,30,2
40,46,43,1,"University of California, Berkeley",95457486.0,-1,1992,27,1,8,-1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,2010.0,1,0,1,1.0,0.0,1992.0,26.0,20,0
61,10,140,1,Johns Hopkins University,145311948.0,-1,1989,18,3,8,1,1,1,74,1973.0,1.574468085106383,12926,275.0212765957447,113,2.404255319148936,-1.0,0,0,0,0.0,0.0,1989.0,16.0,4,0
77,77,76,1,"University of California, San Diego",36258959.0,1991,1995,87,12,9,1,1,1,922,1969.0,17.39622641509434,198249,3740.5471698113206,1056,19.924528301886788,1990.0,10,6032,11,3.8125,722.78125,1990.0,26.0,140,7
87,87,52,2,University of Cambridge,241749.0,1986,1990,7,1,2,-1,1,1,136,1972.0,2.833333333333333,18899,393.72916666666674,116,2.4166666666666665,1979.0,10,311,16,6.627906976744188,907.2558139534883,1979.0,18.0,8,0
96,92,43,1,"University of California, Berkeley",95457486.0,1979,1986,27,5,2,1,1,1,157,1966.0,3.0192307692307687,23973,461.01923076923083,97,1.865384615384616,1982.0,14,3732,10,3.2051282051282053,376.8205128205129,1982.0,20.0,31,14
103,100,102,1,Eberhard Karls Universität Tübingen,8087733.0,-1,1982,40,3,26,1,1,1,657,1972.0,13.14,145221,2904.42,371,7.42,1982.0,36,15419,23,20.025,4397.05,1982.0,10.0,53,15
149,40,139,1,California Institute of Technology,122411786.0,-1,1980,12,2,7,-1,1,1,22,2001.0,2.2,3963,396.3,49,4.9,1980.0,10,5600,14,3.4047619047619047,1522.5,1980.0,-21.0,0,0
235,208,210,1,Massachusetts Institute of Technology,63966007.0,1987,1993,21,4,45,1,1,1,247,1965.0,4.333333333333333,67723,1188.122807017544,153,2.6842105263157894,1987.0,13,4370,9,7.9714285714285715,3235.3142857142852,1987.0,28.0,36,3
