Mentor,PubsOfMentorInTraning,Mentee,CollaPubsOfWithMentor
20084,0,20082,0
20084,6,119748,0
20084,6,119749,0
20084,7,119750,0
20084,26,119751,0
20084,26,119752,7
20084,19,119753,0
20084,10,783428,2
20091,0,20090,0
20091,0,20092,0
20091,0,18029,0
20091,31,20093,2
20091,0,20094,0
20091,0,20095,0
20091,0,20097,0
20091,0,20101,0
20091,0,20102,0
20091,0,20103,0
20091,0,20104,0
20091,0,20939,0
20091,27,24724,0
20091,0,65044,0
20091,0,100126,0
20091,0,781323,0
2347,0,20106,0
2347,0,20107,0
2347,0,20108,0
2347,12,20110,0
2347,0,20109,0
2347,14,703408,0
2347,14,101071,6
2347,24,730076,0
2347,14,807225,0
20113,25,62475,3
20119,0,20118,0
20119,0,20120,0
20119,9,20121,3
20119,0,20122,0
20119,0,20123,0
20119,0,20141,0
20119,0,37652,0
20119,0,37653,0
20119,0,37654,0
20119,0,53484,0
20119,0,62942,0
20119,0,67266,0
20119,0,65568,0
20119,6,20124,0
20119,0,676771,0
20119,0,677300,0
20119,9,740026,0
20119,8,780308,0
20127,9,20536,5
20127,21,20663,11
20127,27,153855,0
20127,27,153856,0
20127,27,153857,0
20127,27,153858,0
20127,27,153859,0
20127,27,153860,0
20127,27,153861,0
20127,28,153862,0
20127,27,153863,0
20127,27,153864,0
20127,24,153865,0
20127,24,153866,0
20127,24,153867,0
20127,17,153868,0
20127,17,153869,0
20127,12,153870,0
20129,18,70603,1
20129,0,83078,0
20129,0,83100,0
20129,0,83101,0
20129,0,83166,0
20137,0,69996,0
20137,2,95588,0
20137,8,95589,0
20137,10,69965,5
20152,44,119758,0
20152,38,119759,0
20152,0,835372,0
5692,0,43489,0
20158,0,30069,0
20158,0,30071,0
20158,0,30073,0
20158,0,30074,0
20158,0,30075,0
20158,0,30076,0
20158,0,81821,0
20158,0,81822,0
20158,26,81894,0
20158,0,82187,0
20158,0,91207,0
20158,13,22348,4
20158,20,30070,0
20158,25,119762,0
20161,0,21452,0
20161,0,26341,0
20161,0,75023,0
20161,0,30318,0
20161,40,75410,7
20161,0,21222,0
20161,44,751755,0
20163,11,28997,0
20163,11,28998,0
20163,9,28994,0
20163,12,28995,0
20163,10,28996,3
20163,13,153879,0
32620,0,32622,0
32620,10,10512,0
32620,0,10594,0
32620,0,32621,0
32620,9,19873,2
32620,0,2290,0
32620,12,51531,0
2290,0,2289,0
2290,36,3186,3
2290,83,7069,3
2290,0,7066,0
2290,0,8270,0
2290,74,8451,0
2290,0,5750,0
2290,81,3096,1
2290,0,12563,0
2290,0,6524,0
2290,79,17726,1
2290,0,12059,0
2290,66,24160,0
2290,83,22073,6
2290,0,32329,0
2290,83,32339,0
2290,66,19437,0
2290,0,9295,0
2290,0,37450,0
2290,59,44640,0
2290,0,50228,0
2290,0,68623,0
2290,0,69618,0
2290,0,55262,0
2290,0,20790,0
2290,65,79358,3
2290,65,59077,0
2290,0,88817,0
2290,0,92391,0
2290,60,92395,7
2290,0,1983,0
2290,64,745481,0
2290,64,17945,4
2290,66,37398,0
2290,69,93807,0
2290,69,7322,3
2290,67,93809,0
2290,67,93808,0
2290,59,48995,6
2290,66,24633,9
2290,60,93810,0
2290,60,46925,0
2290,0,443198,0
2290,64,90772,0
2290,0,67441,0
2290,0,74100,0
2290,64,740780,3
2290,0,37168,0
2290,67,512297,0
2290,59,777858,9
2290,50,828057,2
20173,0,7883,0
7883,0,121925,0
7883,0,797234,0
7883,0,797235,0
20176,0,20175,0
20175,18,20174,2
20175,36,30153,0
20175,18,119768,0
20175,29,119769,0
20175,33,119770,0
20175,35,119771,0
20175,36,119772,0
20175,36,119773,0
20175,35,119774,0
20175,36,119775,0
20175,44,119776,0
20175,42,119777,0
20175,0,770568,0
14900,0,8907,0
14900,0,20177,0
14900,0,25326,0
14900,0,20180,0
14900,0,34163,0
14900,0,60645,0
14900,30,94056,5
14900,24,20179,0
14900,20,14901,0
14900,21,20178,0
14900,19,154319,0
14900,24,154320,0
14900,26,154321,0
10415,0,18476,0
10415,0,1612,0
10415,0,25778,0
10415,33,21508,0
10415,33,31000,1
10415,30,10414,3
10415,22,115888,2
10415,52,115889,0
10415,39,115890,0
20192,0,20198,0
20192,0,20199,0
20192,11,20200,0
20207,0,50478,0
20207,0,50477,0
20207,0,84456,0
20211,3,20204,1
20213,0,20204,0
20213,0,22978,0
20213,6,756371,0
20213,13,756372,0
20213,13,756373,0
20213,0,756918,0
20213,0,756919,0
20213,0,809252,0
3390,27,156371,0
3390,22,162373,3
3390,27,663465,5
20228,16,734474,13
2668,3,2667,0
2668,2,20247,0
19802,0,23029,0
19802,0,91912,0
20231,12,20230,3
20231,20,153880,0
20231,6,29092,0
11325,40,11324,0
11325,0,11313,0
20246,0,789694,0
18539,41,20253,7
18539,0,20254,0
18539,0,68327,0
18539,0,744453,0
7476,65,7475,8
7476,61,5516,0
7476,56,8635,0
7476,0,29002,0
7476,0,751424,0
5050,11,55362,0
5050,10,83303,0
5050,12,84249,0
5050,0,101515,0
5050,14,101516,0
5050,18,787505,3
20270,0,675443,0
20270,0,675444,0
19140,0,25306,0
19140,11,61218,3
19140,11,61219,2
19140,14,61224,0
19140,9,61227,0
19140,10,61220,0
19140,16,61223,0
19140,16,22801,0
19140,14,12125,0
19140,8,61225,0
19140,10,61226,2
18820,97,18819,0
18820,0,18824,0
18820,94,11996,3
18820,82,16568,0
18820,94,55675,2
18820,119,55696,9
18820,89,55697,0
18820,0,55698,0
18820,0,55707,0
18820,0,55708,0
18820,0,55709,0
18820,0,55710,0
18820,0,55712,0
18820,0,63970,0
18820,75,727512,0
18820,0,797441,0
20287,111,10435,0
20287,22,20331,0
20287,17,20332,0
20290,0,20296,0
20289,49,20287,7
20289,0,20328,0
20289,0,20329,0
20289,0,20310,0
20289,51,20330,0
20289,0,20501,0
20289,47,20293,0
20293,0,81338,0
20299,35,119791,0
20299,35,119792,0
20299,36,119793,0
20299,32,119794,0
20299,32,119795,0
7249,3,32007,1
20307,0,20306,0
20317,18,16833,0
20319,0,21563,0
20288,28,20287,6
20288,0,20290,0
20288,28,20299,0
20288,0,20315,0
20288,0,20317,0
20288,0,20318,0
20288,0,20319,0
20288,0,20321,0
20288,0,20323,0
20291,0,20289,0
20291,0,13068,0
20291,0,61611,0
20291,0,20623,0
20291,0,792585,0
20334,111,20333,15
20334,0,4220,0
20334,0,32082,0
20334,268,21646,0
20334,279,56318,0
20334,0,726655,0
20334,222,770358,2
20334,127,798756,3
20333,19,20340,0
20333,26,20341,4
20333,20,65145,4
20333,16,760658,3
20336,0,20337,0
20336,0,22960,0
20336,0,48466,0
20338,0,27328,0
20338,22,119832,0
20338,22,119833,0
20338,28,119834,0
20338,28,119835,0
20338,30,119836,0
20338,30,119837,0
20338,28,119838,0
20338,16,35693,3
20348,63,20347,10
20348,38,20351,13
20348,50,20352,0
20348,33,119846,0
3358,0,19006,0
3358,43,20357,7
3358,0,20358,0
3358,0,21320,0
3358,43,25601,0
3358,0,25602,0
3358,45,35296,0
3358,0,6492,0
3358,0,20082,0
3358,45,59424,0
3358,33,3357,0
3358,45,11571,0
3358,45,156324,0
3358,43,32634,4
20358,0,746732,0
20358,0,749573,0
20358,0,749574,0
20358,0,749575,0
79349,20,101316,0
8363,0,709,0
8363,0,4294,0
8363,9,104002,0
20372,0,30805,0
20373,0,20372,0
20373,0,804,0
20373,0,55722,0
20373,13,105193,4
20373,13,285453,0
20373,21,9850,2
20389,0,20390,0
20389,0,20571,0
20389,0,32626,0
20389,0,2235,0
20389,0,13362,0
19501,34,25183,3
19501,30,26137,3
19501,39,26138,4
19501,44,21335,0
19501,34,28756,0
19501,34,28757,1
19501,59,28759,0
19501,60,28763,0
19501,38,28811,0
19501,43,30171,0
19501,0,30172,0
19501,0,30173,0
19501,0,49644,0
19501,42,53982,0
19501,39,25891,1
19501,55,119455,0
20407,25,20409,0
20407,32,20410,0
20407,32,20411,0
20407,23,20412,5
20407,26,20413,2
20407,28,20414,0
20407,23,20415,0
20407,27,20419,9
20407,34,20420,0
20407,37,20421,0
20407,37,20423,0
20407,39,20424,0
20407,28,20425,0
20407,25,20426,8
20407,41,20428,0
20407,15,20436,0
20407,48,71460,0
20407,41,4797,0
20407,39,20432,0
20407,39,20433,0
20407,42,20434,0
20407,49,71016,0
20407,48,71017,0
20407,46,71019,0
20407,69,71018,0
20407,69,71020,21
20407,40,20429,0
12724,0,12723,0
12724,28,30960,7
12724,0,24881,0
12724,0,67234,0
12724,0,73482,0
12724,38,771709,0
16719,0,19703,0
16719,0,63499,0
16719,30,63929,0
16719,15,22551,0
16719,13,118453,0
16719,18,118454,0
16719,30,118455,0
20426,4,641040,0
20451,0,20449,0
20451,0,20288,0
20451,0,119878,0
20451,0,119879,0
2583,0,2582,0
2583,25,5780,3
2583,0,7723,0
2583,0,13309,0
2583,0,13310,0
2583,0,20310,0
2583,0,24482,0
2583,0,3385,0
2583,152,52097,4
2583,23,58436,7
2583,0,62697,0
2583,0,47176,0
20483,20,51973,0
20483,0,767668,0
20495,0,20498,0
20495,0,20862,0
20496,0,20495,0
20519,0,20517,0
20519,0,20525,0
20519,10,20432,0
20519,0,29490,0
20519,0,37126,0
20519,0,70182,0
20519,0,92540,0
20519,15,8209,0
20519,11,20523,0
20519,12,20524,0
20519,10,20521,0
20519,19,47752,0
20519,15,37125,0
20519,14,119888,0
20519,14,119889,0
20519,0,679050,0
20519,0,679074,0
20528,14,57170,5
20528,2,20516,0
20528,7,119892,0
20529,0,3171,0
20529,0,27263,0
20529,0,51976,0
20529,0,67355,0
20529,0,67356,0
20529,0,691081,0
20529,0,94310,0
20536,0,83356,0
20536,16,27111,0
20536,14,748699,0
20536,16,675306,0
20314,0,20541,0
20549,12,20546,4
12397,38,12396,4
12397,0,12398,0
12397,0,12399,0
12397,0,12400,0
12397,0,12401,0
12397,0,12402,0
12397,0,12403,0
12397,0,12404,0
12397,36,15868,1
12397,17,391,0
12397,0,16423,0
12397,33,20546,2
12397,12,66440,0
12397,0,72348,0
12397,45,804704,0
12397,0,717876,0
12397,0,29548,0
12397,34,817652,0
20559,33,20551,0
20559,0,20676,0
20559,0,20678,0
20559,0,20744,0
