year,num of mentee,num of being mentor,num of mentee from BigGroup,num of mentee from BigGroup being mentor,num of mentee from SmallGroup,num of mentee from SmallGroup being mentor
1900,0,0,0,0,0,0
1901,24,18,6,3,16,13
1902,19,13,6,5,13,9
1903,26,23,6,5,14,13
1904,18,11,3,0,11,6
1905,19,13,4,3,7,5
1906,31,23,10,9,14,8
1907,26,19,6,5,12,9
1908,19,13,9,5,7,7
1909,21,11,7,1,7,5
1910,28,20,9,5,14,9
1911,39,28,15,8,18,15
1912,29,26,12,11,19,18
1913,27,20,10,9,17,15
1914,38,26,18,14,20,13
1915,17,14,1,1,13,10
1916,18,10,4,3,10,7
1917,29,16,6,4,19,10
1918,19,16,7,6,11,9
1919,31,25,13,11,15,12
1920,24,15,5,4,15,10
1921,38,27,17,13,18,13
1922,42,35,17,16,19,13
1923,54,38,20,14,31,25
1924,59,43,29,22,23,16
1925,59,40,23,15,28,21
1926,69,47,34,24,36,27
1927,71,60,48,42,33,26
1928,79,58,39,27,40,30
1929,91,71,47,38,37,31
1930,77,60,40,34,35,29
1931,65,51,31,26,29,24
1932,68,54,26,25,36,31
1933,80,65,34,30,31,29
1934,80,60,36,25,38,28
1935,83,65,32,22,44,35
1936,89,64,40,27,35,26
1937,84,57,32,22,44,31
1938,79,56,27,19,30,20
1939,79,54,31,23,38,22
1940,75,60,25,22,38,33
1941,84,51,25,14,51,34
1942,67,45,17,10,37,29
1943,58,34,21,11,36,22
1944,37,23,12,6,19,13
1945,45,31,21,14,19,12
1946,83,54,27,15,39,27
1947,78,55,19,9,42,29
1948,146,111,60,42,59,48
1949,152,96,51,40,54,29
1950,177,133,59,44,84,68
1951,191,134,67,45,79,51
1952,199,128,68,44,81,49
1953,160,104,61,43,65,39
1954,180,131,57,41,75,55
1955,186,123,53,30,82,62
1956,161,119,43,34,77,60
1957,159,125,42,30,63,57
1958,185,130,51,29,77,56
1959,167,120,31,17,83,66
1960,161,118,36,24,65,51
1961,209,143,79,44,73,59
1962,221,158,69,41,87,69
1963,221,154,76,41,85,69
1964,231,165,62,33,91,76
1965,226,160,66,41,86,67
1966,229,159,72,45,86,66
1967,261,168,74,36,107,81
1968,244,169,67,30,100,86
1969,281,188,61,30,113,87
1970,236,150,73,32,92,71
1971,234,150,69,34,91,67
1972,219,135,53,24,83,65
1973,218,135,59,21,94,74
1974,230,136,71,29,99,65
1975,213,142,46,22,95,68
1976,201,121,62,24,75,54
1977,218,135,53,26,92,68
1978,243,148,64,30,103,73
1979,213,150,51,27,84,66
1980,218,144,74,42,81,62
1981,241,168,64,40,115,83
1982,242,150,78,42,101,69
1983,261,160,86,47,84,54
1984,272,175,86,53,117,85
1985,277,168,92,41,101,73
1986,305,188,87,39,128,96
1987,312,198,78,41,146,110
1988,339,185,88,34,129,89
1989,343,201,95,39,158,112
1990,333,171,100,33,119,72
1991,327,172,101,45,125,76
1992,321,148,79,22,144,87
1993,339,141,104,30,127,77
1994,395,169,118,35,140,68
