Mentor,PubsOfMentorInTraning,Mentee,CollaPubsOfWithMentor
715714,24,717033,0
715714,26,717034,0
715714,53,717035,0
715714,54,689265,0
715714,54,739976,0
715714,49,739977,0
715714,34,739978,0
715714,42,739975,0
715714,28,790163,0
398845,12,414340,0
398845,68,689265,0
715746,0,715745,0
715747,0,715746,0
715747,2,747411,0
715747,0,811443,0
715752,2,715753,0
715753,55,715754,17
176722,0,715081,0
714789,6,714726,0
348783,11,364488,0
715863,0,715865,0
715863,0,715866,0
715863,0,715867,0
715863,34,715868,0
715863,0,715869,0
715863,0,715870,0
715864,59,715863,11
715864,117,715891,0
715864,109,715892,0
715864,109,715893,0
715864,117,715894,0
715864,126,715896,5
715864,126,715897,0
715864,117,715898,0
715864,117,46871,6
715864,127,715899,0
715864,90,715901,0
715864,58,715902,9
715864,59,715904,0
715864,90,715910,4
715864,59,715926,13
715864,99,715934,7
715872,0,715874,0
715886,13,715884,0
715904,0,715896,0
715915,58,715918,0
715915,58,715919,0
715916,0,717338,0
715917,0,716879,0
715917,0,716880,0
715917,0,740284,0
715917,44,778371,6
715913,20,715912,2
715913,18,715915,4
715913,0,715916,0
715913,0,715917,0
715913,0,715920,0
715913,0,715921,0
715913,0,715923,0
715913,0,715924,0
715913,22,715925,0
715913,0,717337,0
715913,0,818014,0
715924,0,778387,0
715926,26,715928,0
715926,29,715927,0
715926,35,715930,0
715926,23,715931,0
715926,0,715932,0
715926,0,804730,0
715926,14,804731,0
715926,36,804732,0
715945,22,715944,3
348844,43,355633,0
348844,41,355634,0
348844,41,355635,0
348844,0,716866,0
716880,32,740275,0
716880,32,740276,0
716880,0,740277,0
716886,46,716885,0
716897,0,716895,0
221633,131,221634,22
221633,0,716941,0
221633,21,716942,8
221633,0,70437,0
716945,0,837517,0
716945,0,837519,0
716945,0,837520,0
716890,9,716948,0
716890,14,716889,9
716890,17,716964,0
716889,38,716892,0
716889,34,716888,8
716889,63,716894,0
716889,102,716893,0
716889,168,760872,0
716889,63,778096,0
716964,33,716963,0
715910,59,715911,0
394668,24,203672,1
717047,4,628824,1
250565,46,259806,0
250565,46,259807,0
250565,37,259808,0
250565,32,259809,0
250565,26,259810,0
250565,20,259811,0
552181,7,554605,5
552181,7,554606,0
552181,9,554607,0
552181,0,723984,0
552181,0,762257,0
717113,4,48425,0
717113,4,797276,0
717113,4,797277,0
348985,78,359708,0
348985,91,359709,0
348985,106,359710,0
348985,106,359711,0
348985,124,359712,0
348985,124,359713,0
348985,209,359714,0
348985,216,359715,0
348985,216,359716,0
348985,216,359717,0
348985,211,359718,0
348985,86,511882,0
587790,32,602832,0
437477,26,439609,0
437477,31,439610,0
381156,0,723969,0
723945,0,723950,0
723945,0,723949,0
723945,0,723948,0
723945,0,723947,0
723945,0,723946,0
82535,0,58525,0
82535,32,86540,13
82535,78,742911,0
82535,85,723937,0
82535,85,759500,0
82535,85,808392,0
82535,43,811218,0
286829,2,294233,0
286829,0,717243,0
286829,0,830130,0
717361,0,761541,0
717361,11,778363,0
685684,1,249759,0
380375,28,474607,0
380375,30,474608,0
380375,30,474609,0
380375,33,474610,0
380375,39,474611,0
380375,45,474612,0
380375,64,474613,0
380375,64,474614,0
380375,64,474615,0
380375,22,721192,1
170250,43,726639,0
170250,43,726638,0
717464,46,717543,0
717464,42,717508,0
717464,47,717547,0
393106,27,400694,0
393106,24,400695,0
393106,28,400696,0
393106,29,400697,0
393106,34,400698,0
717497,41,717713,0
717497,50,717712,0
717497,37,717498,0
717497,37,717499,2
717497,31,717500,0
717497,43,717728,0
717497,43,717729,0
714861,5,187763,0
717496,30,717495,0
717496,54,717728,0
717496,54,717729,0
717496,44,723840,3
717496,32,723839,0
717496,57,717712,0
717496,52,717713,0
717465,23,717464,3
717510,19,717464,3
717548,84,717547,0
437277,56,367947,0
437277,51,440941,0
448111,8,448112,0
448111,0,717613,0
448111,0,717614,0
456323,47,458403,0
456323,57,458404,0
456323,0,807016,0
717613,29,713088,9
717638,10,690882,0
190810,0,738687,0
300729,213,304043,0
349180,162,359773,0
349180,143,359774,0
349180,143,359775,0
349180,136,359776,0
349180,131,735612,0
349180,0,735613,0
516244,1,518979,0
300771,29,304156,0
300771,21,304157,0
300771,32,717920,0
717923,0,717921,0
717921,7,717920,0
723748,5,510663,0
510663,5,511404,0
510663,5,511405,0
497965,60,437501,9
497965,20,590224,0
547679,16,551324,0
547679,16,551325,0
547679,28,497965,10
547679,1,583266,0
547679,29,477550,2
437501,33,440303,0
437501,15,746806,7
437501,35,758337,0
437501,35,758338,0
437501,41,758339,0
437501,38,758340,0
437501,34,758341,0
437501,35,758342,0
437501,0,758343,0
723727,14,167142,0
167142,142,170682,0
675315,6,300747,2
675315,5,675316,0
675315,20,501893,0
522606,66,523177,0
522606,78,523178,0
522606,78,523179,0
522606,78,523180,0
677731,0,437588,0
393181,303,401749,0
393181,80,771494,1
393181,84,771349,0
393181,58,771509,0
393181,73,783038,0
393181,228,809385,0
718324,4,36674,0
157814,0,157815,0
157814,18,157816,0
157814,18,157817,0
157814,18,157818,0
157814,22,157820,0
157814,0,157821,0
157814,0,157822,0
157814,0,157823,0
157814,6,157824,0
157814,10,157825,0
157814,6,157826,0
157814,6,157827,0
157814,6,157828,0
157814,6,157829,0
157814,6,157830,0
157814,6,157831,0
157814,4,157832,0
157814,4,157833,0
157814,4,157834,0
157814,5,157835,0
157814,5,157836,0
157814,6,157837,0
157814,6,157839,0
157814,6,157840,0
157814,6,157841,0
157814,6,157842,0
157814,6,157843,0
157814,7,157844,0
157814,6,157845,0
157814,6,157846,0
157814,6,157847,0
157814,4,157848,0
157814,4,157849,0
157814,1,157850,0
157814,1,157851,0
157814,1,157852,0
157814,1,157853,0
157814,1,157854,0
157814,1,157856,0
157814,0,157857,0
157814,0,157858,0
157814,1,157859,0
157814,2,157860,0
157814,2,157861,0
157814,2,157862,0
157814,2,157863,0
157814,2,157864,0
157814,2,157865,0
157814,2,157866,0
157814,2,157868,0
157814,2,157869,0
157814,2,157870,0
157814,2,157871,0
157814,2,157872,0
157814,2,157873,0
157814,1,157874,0
157814,0,157875,0
157814,0,157876,0
157814,0,157877,0
157814,0,157878,0
157814,0,157879,0
157814,0,157880,0
157814,0,157881,0
157814,0,157883,0
157814,0,157884,0
157814,1,157855,0
157814,0,157882,0
157814,0,157887,0
157814,0,157888,0
157814,0,157889,0
157814,6,157838,0
157814,18,777437,0
526002,0,526616,0
526002,0,526617,0
718555,1,718474,0
718474,22,720662,0
718474,36,718473,7
718474,40,720891,0
718475,43,718473,2
38171,25,128920,0
38171,27,128921,0
38171,0,720911,0
607829,21,611914,0
607829,26,611915,0
607829,26,611916,0
607829,0,720959,0
17229,8,65268,1
17229,8,300033,1
17229,6,52382,0
733434,127,721913,0
512805,121,513802,0
512805,117,513803,9
512805,129,513804,0
512805,125,513805,0
512805,125,513806,0
512805,125,513807,0
512805,140,513808,0
512805,153,513809,0
512805,161,513810,0
512805,161,513811,0
